source_index,x,y,z,before_class,after_class,before_instance,after_instance,fusion_score,after_step05_type
1269066,6.048844686299654,-2.3542714322410707,0.02293065333669072,4,3,0,87,0.5,0
1269367,6.04912305912409,-2.354428798310516,0.02250520623168916,4,3,0,87,0.5,0
1269686,6.049734108217867,-2.354477397028867,0.02236617151489459,4,3,0,87,0.5,0
1269962,6.05029765229776,-2.3542658388387485,0.022786747637497377,4,3,0,87,0.5,0
1482630,6.0893261345741525,-1.783166665444397,0.03506451085574505,4,3,0,40,0.5,0
1483059,6.08800047785976,-1.783057751196784,0.03523055344072222,4,3,0,40,0.5,0
1483060,6.088388749124227,-1.7826863346836288,0.03496465802102823,4,3,0,40,0.5,0
1483061,6.088924832302979,-1.7827438056796843,0.03489229255677369,4,3,0,40,0.5,0
1483062,6.090322638489546,-1.7831197442480198,0.03472186412155577,4,3,0,40,0.5,0
1483063,6.091218337318502,-1.7829947693143524,0.03446775833800177,4,3,0,40,0.5,0
1597020,6.090958390377217,-1.7716066289364514,0.03412058623176836,4,3,0,40,0.5,0
1597516,6.0961055388557295,-1.7715579091644877,0.03501181994934924,4,3,0,40,0.5,0
1597517,6.095905083727764,-1.7719224256217188,0.03434235084379984,4,3,0,40,0.5,0
1597521,6.091214043818217,-1.7720850214792634,0.033911694117759475,4,3,0,40,0.5,0
1597522,6.089445952399895,-1.771734676455637,0.03426943878545132,4,3,0,40,0.5,0
1597523,6.087969594992223,-1.7717732091353762,0.03437404662123926,4,3,0,40,0.5,0
1598078,6.090089940107813,-1.7719383453052504,0.034117916940181355,4,3,0,40,0.5,0
1598597,6.090137665630271,-1.772307819973375,0.03397517029583538,4,3,0,40,0.5,0
1598598,6.089212598325999,-1.7724191734286148,0.03402259694511929,4,3,0,40,0.5,0
1599661,6.095692501794919,-1.7720464035632724,0.033793250082962564,4,3,0,40,0.5,0
1599663,6.091201670837098,-1.7726971741836581,0.03370552928600143,4,3,0,40,0.5,0
1599664,6.090109032183536,-1.7730488195135066,0.03371986485230119,4,3,0,40,0.5,0
1599665,6.0879922385393765,-1.7726343274097531,0.03399972922528538,4,3,0,40,0.5,0
1600165,6.095844453203499,-1.7724374751933494,0.03373403799806966,4,3,0,40,0.5,0
1600166,6.09524443887214,-1.772683408982402,0.03345646384792175,4,3,0,40,0.5,0
1600169,6.089280345793671,-1.7728867373403934,0.03384653714388387,4,3,0,40,0.5,0
1600170,6.088656194523753,-1.7730144411942663,0.033833043988238394,4,3,0,40,0.5,0
1600171,6.085271846424488,-1.7727569121012998,0.034242252715575905,4,3,0,40,0.5,0
1600689,6.087828040154576,-1.773347831911349,0.03374800359676915,4,3,0,40,0.5,0
1601225,6.089434359949127,-1.7733470770264608,0.0336677939326101,4,3,0,40,0.5,0
1601226,6.0832161231550295,-1.7728375478622769,0.034293337239745175,4,3,0,40,0.6499999761581421,0
1603316,6.080900301271723,-1.7730508416075614,0.033829507053640864,4,3,0,40,0.6499999761581421,0
1618529,6.08921608096142,-1.7012246425891149,0.037413690040417405,4,3,0,41,0.5,0
1619030,6.089877866861414,-1.7012221566829033,0.037092986325839,4,3,0,41,0.5,0
1619031,6.09120981798723,-1.7007136929718651,0.03639693725203041,4,3,0,41,0.5,0
1619539,6.088151992918039,-1.700678003011795,0.03712557165322483,4,3,0,41,0.5,0
1619540,6.090251248546906,-1.7007681258396106,0.03657261891796641,4,3,0,41,0.5,0
1619983,6.089140172343072,-1.7003282052230395,0.036570662403980346,4,3,0,41,0.5,0
1620450,6.087835357772452,-1.7004319118983844,0.036948326748015896,4,3,0,41,0.5,0
1620451,6.089849625429922,-1.7001251878866899,0.036101721280144945,4,3,0,41,0.5,0
1620990,6.08921613813031,-1.6999719045430215,0.03615213021891468,4,3,0,41,0.5,0
